number,gt_snippet,whisper_snippet,type,variant,score,dataset,folder
0,anyone should require assistance during the call please pre ss 0 on your touch tone phone as a reminder ladies and,should require assistance during the call please pre ss star zero on your touchtone phone as a reminder ladies and,missing,whisper-large-v3-turbo,95.02262443438913,combined_21,4320211
1,excuse me comments on videojet but and and actually just 1 or 2 but on an overall basis at least tom,encouraging excuse me comments on video chat and actually just water too but on an overall basis at least tom,missing,whisper-small,88.3248730964467,combined_21,4344338
2,comments on videojet but and and actually just 1 or 2 but on an overall basis at least tom is there,me comments on video chat and actually just water too but on an overall basis at least tom is there,missing,whisper-small,88.2051282051282,combined_21,4344338
2,comments on videojet but and and actually just 1 or 2 but on an overall basis at least tom is there,encouraging comments on video chat and actually just water too but on an overall basis at least tom is there,missing,GPT-4o mini Transcribe,88.2051282051282,combined_21,4344338
1,excuse me comments on videojet but and and actually just 1 or 2 but on an overall basis at least tom,made some encouraging comments on video chat and actually just water too but on an overall basis at least tom,missing,GPT-4o mini Transcribe,82.97872340425532,combined_21,4344338
1,a question over the telephone just pre ss star then 1 again if you have a question pre ss star then,a question over the telephone just pre ss star didnt want again if you have a question just pre ss,missing,whisper-small,90.9090909090909,combined_21,4346923
19,more visibility on the impact on the impact of covid 19 on the us economy it was really the third quarter,we have more visibility when and the impact and the impact of collusion and came on the us economy so,missing,whisper-large-v3-turbo,78.85714285714286,combined_21,4346923
1,impact pricing tomorrow but its really hard to isolate any 1 and any 1 factor and its impact on profitability because,today which will impact pricing tomorrow but its really hard to isolate anyone factor and its impact on profitability because,missing,whisper-small,94.22222222222221,combined_21,4360366
1,but its really hard to isolate any 1 and any 1 factor and its impact on profitability because you know everything,impact pricing tomorrow but its really hard to isolate anyone factor and its impact on profitability because you know everything,missing,whisper-small,94.00921658986175,combined_21,4360366
1,our small scale suppliers are very important and the strategic 1 is we want to invest with them so they can,our small scale suppliers are very important and its a pg once we want to invest with them so they,missing,whisper-small,86.73469387755102,combined_21,4360717
1,are better pre pared in the returnable bottles that the 1 is the returnable soft drinks compared with with oxxo so,would say also they were better pre pared in the returnable bottles than the returnable subdrinks compared with oxxo so,missing,GPT-4o mini Transcribe,89.0995260663507,combined_21,4360717
20,question in our backbone plan document investment figures are given 20 or 60 billion for in for for the entirety of,a hydrogen question in our backbone plan document investment figures are given twenty twenty or sixty billion for the entirety,missing,whisper-large-v3-turbo,84.34782608695653,combined_21,4361631
1,be ready for whats coming so in that sense thats 1 of your priority secondly we are taking a look and,be ready for whats coming so in that sense thats going to be our priority secondly we are taking a,missing,GPT-4o mini Transcribe,93.6842105263158,combined_21,4363614
38,pandemic and so its its situational and we deal in 38 states across the country and youve got to add it,pandemic its situational and we deal with it and youve got to add it all together nothing other than business,missing,whisper-large-v3-turbo,77.19298245614034,combined_21,4365024
3,and thats available to to those who want to quote 3 months that way if you will and the the good,paywall and thats available to those who want to quote stream us that way if you will and the good,missing,GPT-4o mini Transcribe,89.24731182795699,combined_21,4365024
2,on this but just wondering if both patients in cohort 2 have been dosed and if you can talk more about,this but just wondering if both patients and cooler to have been dosed and if you can talk more about,missing,whisper-small,95.0,combined_21,4367535
2,establishing the safety we obviously will have the recommended phase 2 dose coming up in order to then do the dose,establishing the safety we obviously will have the recommended phase ii dose coming up in order to then do the,missing,whisper-large-v3-turbo,98.63013698630137,combined_21,4367535
6,the technical issues we will pick up again from slide 6 as noted earlier most cancers are currently diagnosed in late,health as noted earlier most cancers are currently diagnosed in late stages as shown by the gray bars in the,missing,whisper-small,72.94117647058825,combined_21,4375653
2,the resilience to market situation with that lets turn to 2 additional details to our financials our sga in the third,the resilience to market fluctuations with that lets turn to additional details to our financials our sga in the third,missing,GPT-4o mini Transcribe,95.72649572649573,combined_21,4383161
4,are currently in discussions with other land owners to build 4 cell housing and single family rental housing on a fee,are currently in discussions with other landowners to build for sale housing and single family rental housing on a fee,missing,GPT-4o mini Transcribe,94.87179487179486,combined_21,4384198
1,related to eliminating state income taxes from rates could impact 1 gas cash flow going forward it isnt expected to have,related to eliminating state income taxes from rate could impact windas cash flow going forward what does this cash flow,missing,GPT-4o mini Transcribe,86.87782805429865,combined_21,4384683
2,right thats we announced a year ago you know this 2 billion dollars of of equity need that would support the,youre right that we announced a year ago you know theres billion dollars of equity need that would support the,missing,whisper-large-v3-turbo,95.28301886792453,combined_21,4384964
2,is in the question queue you may pre ss star 2 if youd like to remove your question from the queue,in the question queue you may pre ss start too if youd like to remove your question from the queue,missing,whisper-large-v3-turbo,97.40932642487047,combined_21,4385939
10,lastly i wanted to note some new disclosure in our 10 related to ncaa based on the cancellation of march madness,wanted to note some new disclosure in our tank cubilata to the ncaa based on the cancellation of march madness,missing,whisper-small,91.07981220657277,combined_21,4386541
1,year ago even with our ramp up there was nearly 1 million shipments we didnt fulfill we balanced customer requirements and,year ago even with our ramp up there was nearly a million dollars in shipments we didnt fulfill we balanced,missing,whisper-large-v3-turbo,93.59605911330048,combined_21,4387865
1,year ago even with our ramp up there was nearly 1 million shipments we didnt fulfill we balanced customer requirements and,year ago even with our ramp up there was nearly a million dollars shipments we didnt fulfill we balanced customer,missing,GPT-4o mini Transcribe,95.41284403669725,combined_21,4387865
21,what i should assume for accrued tax rate in fiscal 21 will there be end of day tax accruals yeah therell,you assume what i should assume for a crude tax rate i would say will the tax accruals yeah therell,missing,whisper-small,73.73737373737373,combined_21,4394084
50,of long term recurring revenue as expected for the last 50 years theyre supporting textron in looking into opportunities for the,recurring revenue as they expected for the last years there is support in textron and looking into opportunities for the,missing,whisper-large-v3-turbo,92.76595744680851,combined_21,4394084
3,to maintain our overall guidance in the prospectus for year 3 okay and what about what about margins well without guidance,maintain our overall guidance in the perspectives for you guys to read okay and what about margins as well with,missing,whisper-large-v3-turbo,82.35294117647058,combined_22,2020-03-0230487MTN-Ghana-2019-Annual-Results-Call
3,to maintain our overall guidance in the prospectus for year 3 okay and what about what about margins well without guidance,maintain our overall guidance in the perspectives for you guys to read okay and what about margins as well with,missing,whisper-large-v3-turbo,82.35294117647058,combined_22,2020-03-0230487MTN-Ghana-2019-Annual-Results-Call
1,shareholders will absolutely be taken into consideration sorry yes yes 1 for effect which has dilution and you know things like,of shareholder will absolutely be taken into consideration for effect which i say you should and things like that im,missing,whisper-small,75.0,combined_22,2020-Annual-Results-Call-Recording
1.5,first is in the comments you talk about investing gh 1.5 billion in network expansion whereas the capex for the year,comments you talk about investing a billion and a half cd in network expansion whereas the capex for the year,missing,GPT-4o mini Transcribe,89.95215311004785,combined_22,2020-Annual-Results-Call-Recording
6,5 million dollars of cash in hand plus facility of 6 million dollars in the fourth quarter which is completely the,billion dollars of cash in hand plus evolving credibility obstruction in the data in the fourth quarter which is completely,missing,whisper-small,73.6842105263158,combined_22,4329526
2,first i am going to a a answer the number 2 question that they can how is the monetization i think,so im going to answer the number to pre sent that you can under how is the modification i think,missing,whisper-small,78.94736842105263,combined_22,4351517
1,the difference but nothing could make a bit healthier this 1 i think from the of government im going to think,going to make the state healthier thats all i think from the direction of the government im going to think,missing,whisper-small,80.20833333333334,combined_22,4351517
2,first i am going to a a answer the number 2 question that they can how is the monetization i think,so im going to answer the number to pre sent that you can under how is the modification i think,missing,whisper-small,78.94736842105263,combined_22,4351517
2,first i am going to a a answer the number 2 question that they can how is the monetization i think,sir i am going to answer the number to pre sent the second on how is the modification i think,missing,whisper-large-v3-turbo,78.49462365591397,combined_22,4351517
10,say thats to move forward to the next slide slide 10 i think you know this is i think an interesting,which is done we move forward to the next slide and i think here this is i think an interesting,missing,whisper-small,81.28342245989305,combined_22,4372696
7,you look at the credit cost i think its only 7 basis points so compared to the past theres m there,you look at the credit cost i think its only basis point so compared to the past there must have,missing,whisper-small,94.79166666666666,combined_22,4420696
10,a reduction in average loan volumes moving on to slide 10 we show that our financial margins with the market was,reduction in average loan volumes movie on just like ten we show that our financial margins with the market was,missing,whisper-small,93.21266968325791,combined_22,4423872
