number,gt_snippet,whisper_snippet,type,variant,score,dataset,folder
0.75,starting at continuing etf of 0.72 cents there was a 0.75 cents gain primarily related to the 11.5 billion after tax,starting at continuing eps of 72 cents it was a 75 cent gain primarily related to the 11.5 billion archetypes,wrong,whisper-small,89.40092165898618,combined_21,4341191
100,19 taking a step back about 80 of our roughly 100 billion backlog is in services which have a long time,taking a step back about 80 of our roughly 400 billion backlog is in services which have a long time,wrong,GPT-4o mini Transcribe,99.0,combined_21,4341191
6.50,after the adjustment for the peasant pension re measurement of 6.50 million reflecting 2 items first prior year spire stl pipeline,the adjustment for the peasant pension remeasurement of of 6.5 million reflecting 2 items first prior year spire stl pipeline,wrong,whisper-small,97.99196787148594,combined_21,4344866
1.90,moratorium on fees we anticipate losing fee revenue of roughly 1.90 million we have seen some decline in our commercial and,moratorium on fees we anticipate losing fee revenue of roughly 1.9 million we have seen some decline in our commercial,wrong,whisper-small,99.15254237288136,combined_21,4344866
2.20,smart commercial accounts we estimate that impact to be approximately 2.20 million we have not yet seen any appreciable change in,accounts we estimate that impact to be approximately 2.2 million dollars we have not yet seen any appreciable change in,wrong,whisper-large-v3-turbo,96.1038961038961,combined_21,4344866
1.90,moratorium on fees we anticipate losing fee revenue of roughly 1.90 million we have seen some decline in our commercial and,moratorium on fees we anticipate losing fee revenue of roughly 1.9 million dollars have seen some decline in our commercial,wrong,whisper-large-v3-turbo,95.86776859504133,combined_21,4344866
2.40,gas utility posted earnings of just over 144 million down 2.40 million from last year as a result of warmer weather,utility posted earnings is just over 144 million down 2.4 million from last year as a result of warmer weather,wrong,whisper-large-v3-turbo,97.27272727272728,combined_21,4344866
2.90,excluding this adjustment our run rate utility om was up 2.90 million or 2.60 due to higher operations and employee costs,excluding this adjustment our run rate utility om was up 2.9 million or 2.6 due to higher operations and employee,wrong,whisper-large-v3-turbo,98.23008849557522,combined_21,4344866
2.80,our 5 year capital investment target now through 2024 to 2.80 billion that level of investment is driven by utility infrastructure,5 year capital investment target now through 2024 to 2.8 billion that level of investment is driven by utility infrastructure,wrong,GPT-4o mini Transcribe,99.2,combined_21,4344866
3.90,we delivered consolidated net economic earnings of 144 million down 3.90 million from last year our gas utility posted earnings of,we delivered consolidated net economic earnings of 144 million down 3.9 million from last year our gas utility posted earnings,wrong,GPT-4o mini Transcribe,99.20634920634922,combined_21,4344866
