error_type,word,gt_snippet,gt_index,whisper_snippet,whisper_index,score,dataset,folder
under,yeah,technology is ahead of others at this point thanks steve yeah i would say at this point were looking fr opportunities,7872,technology is ahead of others at this point thanks dave i would say at this point were looking for opportunities,7813,92.85714285714286,combined_21,4360674
under,yeah,you think might actually occur in the next 4 years yeah you know so i think its honestly too soon to,7051,think might actually occur in the next 4 years you know so i think its honestly too soon to tell,7027,94.79166666666666,combined_21,4360674
under,yeah,you think might actually occur in the next 4 years yeah you know so i think its honestly too soon to,7051,think might actually occur in the next 4 years you know so i think its honestly too soon to tell,7027,94.79166666666666,combined_21,4360674
under,yeah,technology is ahead of others at this point thanks steve yeah i would say at this point were looking fr opportunities,7872,technology is ahead of others at this point thanks dave i would say at this point were looking for opportunities,7809,92.85714285714286,combined_21,4360674
under,yeah,you think might actually occur in the next 4 years yeah you know so i think its honestly too soon to,7051,think might actually occur in the next 4 years you know so i think its honestly too soon to tell,6892,94.79166666666666,combined_21,4360674
under,yeah,technology is ahead of others at this point thanks steve yeah i would say at this point were looking fr opportunities,7872,technology is ahead of others at this point thanks dave i would say at this point were looking for opportunities,7676,92.85714285714286,combined_21,4360674
under,yeah,go to dwell on them marcelino you have the floor yeah we have to understand that the current network apart from,8121,dwell on them and then marcelino you have the floor we have to understand that the current network apart from,7991,93.45794392523365,combined_21,4361631
over,yeah,you is that were doing our best job in in basically reviewing the portfolio we do like that we see,8351,were doing our best job in basically reviewing the portfolio yeah we do that every single day we reviewed the behavior,8376,83.14606741573034,combined_21,4363614
over,yeah,be very conservative in the way we manage that okay didier i dont know if you want to complete absolutely,6975,be very conservative in the work we managed out okay yeah i dont know if you want to complete absolutely i,7001,90.9090909090909,combined_21,4363614
over,yeah,renigation remains 25 below the first quarter in 20 monthly average however it expanded 33 upon the 2020 minimum rates,2217,origination remains 25 below the first quarter in 20 monthly yeah rich however it expanded 33 above the 2020 minimum reach,2326,88.98305084745762,combined_21,4363614
over,yeah,very conservative in the way we manage that okay didier i dont know if you want to complete absolutely absolutely,6976,be very conservative in the way we manage that okay yeah didier i dont know if you want to complete absolutely,6991,96.22641509433963,combined_21,4363614
over,yeah,hector grisi for some final remarks hector please go ahead thank you didier okay please turn to slide 23 let,4401,hector grisi for some final remarks hector please go ahead yeah please turn to slide 23 let me share with you,4531,90.45226130653266,combined_21,4363614
over,yeah,it comes from nicolas riva from bank of america yes thank you very much for taking my question i have,12096,and it comes from nicola riva from bank of america yeah thank you very much for taking my question i have,12217,98.01980198019803,combined_21,4363614
over,yeah,question it comes from nicolas riva from bank of america yes thank you very much for taking my question i,12095,question it comes from nicolás rivas from bank of america yeah thank you very much for taking my question i have,11785,96.19047619047619,combined_21,4363614
under,yeah,potential as the world rebounds from the covid 19 pandemic yeah with this i would like to pass to our cfo,1550,promising growth potential as the world rebounds from the covid 19 pandemic with this i would like to pass to,1605,93.4010152284264,combined_21,4389907
under,yeah,potential as the world rebounds from the covid 19 pandemic yeah with this i would like to pass to our cfo,1550,potential as the world rebounds from the covid 19 pandemic with this i would like to pass to our cfo,1622,95.0,combined_21,4389907
under,yeah,that into account in the in the guidance i understand yeah i think as far as a quantification steve to jeromes,3673,think weve taken that into account in the guidance i think as far as a quantification steve to jeromes point,3635,76.85185185185185,combined_21,4392809
under,yeah,stores a total of 6 new stores up to june yeah in june and launched the first ca cashier less store,575,formats with new bombier stores a total of 16 bombier stores up to june and launched the first cashless store,600,84.15300546448088,combined_22,4443871
under,yeah,line of andrew green at sorry i was on mute yeah good morning how are you doing just a couple of,2180,the line of andrew green at exxon sorry ill unmute good morning how are we doing just a couple of,2170,86.77248677248677,combined_22,4443920
under,yeah,give any details at this stage thank you very much yeah laura thank you there are no other questions on the,8158,details at this stage thank you very much thank you there are no other questions on the line please continue,7694,89.69072164948454,combined_22,4443920
under,yeah,covered this 1 any other questions from the audience yes yeah and bank brokerage house i have a question about your,6318,covered this 1 any other questions from the audience yes i am banking brokerage house i have a question about,6312,94.4954128440367,combined_22,4450488
under,yeah,covered this 1 any other questions from the audience yes yeah and bank brokerage house i have a question about your,6318,covered this 1 any other questions from the audience yes jakub szkolaj m bank brokerage house i have a question,6236,92.09302325581396,combined_22,4450488
under,yeah,covered this 1 any other questions from the audience yes yeah and bank brokerage house i have a question about your,6318,covered this 1 any other questions from the audience yes jakub szklar m bank brokerage house i have a question,6199,92.5233644859813,combined_22,4450488
under,yeah,from a cash flow perspective thank you would you mind yeah let me take the first question maybe let me just,5657,developing in the second half from a cash flow perspective thank you let me take the first question maybe let,5701,84.94623655913979,combined_22,4452058
under,yeah,not mistaken is about hepsipay hepsipay is correct yes yes yeah it is correct so hepsipay is designed to be a,4433,not mistaken is about hepcpay hepcpay is correct i think thats correct so ftpay is designed to be a companion,4479,83.65384615384616,combined_22,4452058
under,yeah,about the profitability for new businesses right let me remind yeah you at hepsiexpress we aim to become a mainstream grocery,5189,about the profitability for new businesses right let me remind you at heftexpress we aim to become a mainstream grocery,5234,93.27731092436974,combined_22,4452058
under,yeah,pl is it correct hanzade yes let me yes probably yeah okay thats correct okay i in total we have 132,6126,we recognize in arcana is it correct anzade yes lets see okay thats correct okay in total we have 132,6180,86.03351955307262,combined_22,4452058
under,yeah,and the frequency we will see the total order numbers yeah that is that is true by the year end we,5425,active user base and the frequency we will seek the total order number that is true by the year end,5474,90.0,combined_22,4452058
under,yeah,onboarded for the fulfillment services to understand the potential growth yeah thank you so much again for the question let me,5996,for the fulfillment services to understand the potential growth yes thank you so much again for the question let me,6057,98.26086956521739,combined_22,4452058
over,yeah,another big part of it too also sits in france and here weve told you at the interim pre sentation,7399,another big part of it too also sits in france yeah we told you at the interim pre sentation we had,7165,94.73684210526316,combined_22,4453225
over,yeah,2 levels of exchange rate were working with here 1 is year on year actually as reported and 1 converts,237,got 2 levels of exchange rate were working with here yeah 1 minute year on year actually as reported and 1,240,90.19607843137256,combined_22,4453225
under,yeah,bill this next question comes from oswald clint at bernstein yeah oswald are you there no but better actually someones there,4193,very much vidas next question comes from oswald klim at bernstein oswald are you there ok can you hear me,3958,78.97435897435898,combined_22,4463259
over,yeah,solution business account is for almost 300 million the transmission line phased in 2020 with a cash impact of 28,2816,in both generation and distribution business accounted for almost 300000000 yeah a transmission line sales in 2020 with a cash impact,2948,80.55555555555556,combined_22,4464164
over,yeah,items of the p and l so september year to date the revenues at 859 million euros grew by 41,2704,go through the main items of the pl so september yeah today tarebi news at 859 million euros do by 41,2600,83.72093023255813,combined_22,4468654
over,yeah,is being recorded i like to hand over to ines arellano please bega begin ill be standing by thank you,50,i would now like to hand over to ines ariano yeah no please begin and ill be standing by thank you,62,84.15300546448088,combined_22,4469184
over,yeah,exceeded the same parameter for the same period last year the seasonality of our costs re that should translate it,1478,exceeded the same parameter for the same period last year yeah the seasonality of our costs that are translated into the,1541,91.62995594713657,combined_22,4469291
over,yeah,do so huh thank you you could say thank you is it okay thank you very much well be moving,2829,us to do so thank you you know thank you yeah i think okay thank you very much well be moving,2946,85.22727272727273,combined_22,4469291
over,yeah,vladimir good afternoon ladies and gentlemen as mentioned by vladimir the mobile is 1 of the core drivers of our,541,good afternoon ladies and gentlemen and as mentioned by wladimir yeah the mobile is 1 of the co drivers of our,573,93.89671361502347,combined_22,4469291
under,yeah,shareholder but its a shareholder if i give some color yeah just the sort of customers that we have to serve,5826,as a shareholder you might give some colour you can analyse the sort of customers that we have to serve,5340,86.01036269430051,combined_22,4469836
under,yeah,a project that it was planned and this is the yeah the first graph that it was planned by early 2021,1000,project that it was planned and this is the first graph that it was planned by early 2021 to have,920,90.72164948453609,combined_22,4469836
under,yeah,give some color to balance sheet okay okay thank you yeah my question really was i just wanted to talk about,5880,some colour to trs balance sheet ok ok thank you my question really was i just wanted to talk about,5391,90.9090909090909,combined_22,4469836
under,yeah,2 last figures cost with virus and then government support yeah equity conversion as the catalyzer it had nothing to do,5170,last figures cost with virus and then government support the equity conversion as a catalyzer it has nothing to do,4727,93.85964912280701,combined_22,4469836
under,yeah,the 1st of october so i think its part of yeah working capital its just a 90 million cash payment having,8747,1st of october so i dont think its part of the working capital its just 90 million cash payment having,8145,94.05940594059405,combined_22,4469836
under,yeah,good news and the second and the second question is yeah quality of the backlog the quality is very good and,7732,this is good news and the second question is the quality of the backlog the quality is very good and,7127,89.69072164948454,combined_22,4469836
under,yeah,drastically be reduced and we validated that under this program yeah also please take note that the digital agency the ministry,1746,drastically be reduced and revalidated that under this program we are also pleased to announce that the digital agency the,1793,91.66666666666666,combined_22,4470010
under,yeah,showing you segment then segment changes over top online so yeah year on the left hand side is in itself right,586,you segment changes over top line of line for a year and the reference height is in itself i can,619,73.62637362637363,combined_22,4470010
under,yeah,showing you segment then segment changes over top online so yeah year on the left hand side is in itself right,586,showing you segment and segment changes over top line and bottom line for a year on the left hand side,596,86.01036269430051,combined_22,4470010
under,yeah,drastically be reduced and we validated that under this program yeah also please take note that the digital agency the ministry,1746,drastically be reduced and we validated that under this program we are also pleased to announce that the digital agency,1772,92.7038626609442,combined_22,4470010
under,yeah,showing you segment then segment changes over top online so yeah year on the left hand side is in itself right,586,showing you segment and segment changes over top line and bottom line for year on the left hand side is,589,86.29441624365482,combined_22,4470010
under,yeah,drastically be reduced and we validated that under this program yeah also please take note that the digital agency the ministry,1746,drastically be reduced and we validated that under this program we are also pleased to announce that the digital agency,1744,92.7038626609442,combined_22,4470010
over,yeah,bonus increases can be expected next year what are the demands of trade unions as of now well nothing extraordinary,5306,and bonus increases can be expected next year what are yeah the demands of trade unions as of now well nothing,5230,95.73459715639811,combined_22,4470253
under,yeah,want to to to retention of talent basically yeah yeah yeah quite right alejandra its its becoming more and more challenging,6749,come retention of talents basically its becoming more and more challenging and yes we are competing with fintechs with pick,7233,71.06598984771574,combined_22,4470595
under,yeah,faster manner in the coming quarters you want to answer yeah yeah you know what 1 thing that you have to,4394,still aiming at them adding clients in the faster manner in the coming quarters yes you know 1 thing that,4902,73.49397590361446,combined_22,4470595
under,yeah,follow up mari i know you can go on that yeah i can comment on that you know rodrigo for the,4641,follow up maria i know you want to go now yes i can comment on that jero rodríguez for the,5159,80.0,combined_22,4470595
under,yeah,do you want to to to retention of talent basically yeah yeah yeah quite right alejandra its its becoming more and,6747,end of the day you want to go to a twice come retention of talents basically its becoming more and,7222,70.06369426751593,combined_22,4470595
under,yeah,manner in the coming quarters you want to answer yeah yeah you know what 1 thing that you have to bear,4395,aiming at them adding clients in the faster manner in the coming quarters yes you know 1 thing that you,4903,72.04968944099379,combined_22,4470595
under,yeah,faster manner in the coming quarters you want to answer yeah yeah you know what 1 thing that you have to,4394,clients in a faster manner in the coming quarters you wont try yes you know 1 thing that you have,4753,80.41237113402062,combined_22,4470595
under,yeah,want to to to retention of talent basically yeah yeah yeah quite right alejandra its its becoming more and more challenging,6749,to ask on retention of talent basically youre quite right going to come and its becoming more and more challenging,7014,80.70175438596492,combined_22,4470595
under,yeah,do you want to to to retention of talent basically yeah yeah yeah quite right alejandra its its becoming more and,6747,you need to ask on retention of talent basically youre quite right going to come and its becoming more and,7012,75.72815533980582,combined_22,4470595
under,yeah,manner in the coming quarters you want to answer yeah yeah you know what 1 thing that you have to bear,4395,faster manner in the coming quarters you wont try yes you know 1 thing that you have to bear in,4756,80.0,combined_22,4470595
under,yeah,you want to to to retention of talent basically yeah yeah yeah quite right alejandra its its becoming more and more,6748,need to ask on retention of talent basically youre quite right going to come and its becoming more and more,7013,77.72511848341233,combined_22,4470595
over,yeah,the planned investment and the companys mid to long term strategy and we also look at the market demand and,5371,planned investment and the companys mid to long term strategy yeah and yeah very important in terms of the supply of,7414,78.65168539325843,combined_22,4481766
over,yeah,alignment between the planned investment and the companys mid to long term strategy and we also look at the market,5369,and the companys mid to long term strategy yeah and yeah very important in terms of the supply of the market,7416,72.92817679558011,combined_22,4481766
